"","am_sid","class","order","family","Loo","K","Winfinity","tmax","tm","M","Lm","depthrangedeep","demerspelag","EnvTemp","FeedingType","bodyshape","IUCN_Code","Resilience","pd50","vulnerability","importance","pricecateg"
"3276","Fis-160987","Actinopterygii","Perciformes","Apogonidae",16.1747159025822,0.764868797943606,43.393636241654,4.93418228539146,1.11968884929275,1.20377655838209,9.71130011343826,20,"reef-associated","tropical","hunting macrofauna (predator)","short_andor_deep","LC","High",0.502,10.53,NA,"high"
"3277","Fis-160988","Actinopterygii","Perciformes","Apogonidae",16.1747159025822,0.764868797943606,43.393636241654,4.93418228539146,1.11968884929275,1.20377655838209,9.71130011343826,25,"reef-associated","tropical","hunting macrofauna (predator)","short_andor_deep","NE","High",0.502,11.53,NA,"high"
"3278","Fis-161008","Actinopterygii","Ophidiiformes","Bythitidae",25.2036331124667,0.419848277295168,122.878847298982,6.87397069020538,1.96961290204576,0.722690883412434,14.8186666032635,2500,"demersal","deep-water",NA,NA,"NE","High",1,20.6,"of no interest","unknown"
"3279","Fis-161020","Actinopterygii","Stomiiformes","Stomiidae",23.5397567149252,0.423800313495307,85.8694568757911,6.27355059101942,1.82504280173576,0.668768086628931,14.2697393878252,2000,"pelagic","deep-water",NA,"elongated","LC","High",0.5156,27.32,NA,NA
"3280","Fis-161024","Actinopterygii","Pleuronectiformes","Cynoglossidae",20.1645406981255,0.39847003402038,62.4023771377952,7.18985443200921,1.72054591120588,0.631362201108418,10.838936655261,20,"demersal","tropical",NA,"short_andor_deep","NE","High",0.5,10,NA,NA
"3281","Fis-161027","Actinopterygii","Perciformes","Microdesmidae",38.5911168983685,0.352035020708141,627.082286464389,9.39336370164218,2.28309311454617,0.582582065890555,21.373183789281,38,"reef-associated","tropical",NA,"elongated","DD","High",0.5,10,NA,NA
"3282","Fis-161031","Actinopterygii","Perciformes","Pseudochromidae",38.5911168983685,0.352035020708141,627.082286464389,9.39336370164218,2.28309311454617,0.582582065890555,21.373183789281,16,"pelagic","tropical",NA,"short_andor_deep","NE","High",0.5078,18.58,NA,NA
"3283","Fis-161033","Actinopterygii","Scorpaeniformes","Scorpaenidae",24.0568865864995,0.206027371824936,156.690424841553,8.64133030435797,2.20979206442148,0.461490423657898,10.5634326279616,113,"demersal","subtropical",NA,"fusiform_normal","LC","High",0.5,27.89,NA,NA
"3284","Fis-161040","Actinopterygii","Stomiiformes","Stomiidae",23.5397567149252,0.423800313495307,85.8694568757911,6.27355059101942,1.82504280173576,0.668768086628931,14.2697393878252,533,"pelagic","subtropical",NA,"elongated","LC","High",0.5156,25.22,NA,NA
"3285","Fis-161046","Elasmobranchii","Rajiformes","Rajidae",188.414433931463,0.0923572318558271,35336.3330813041,17.7167260201567,9.3564290678586,0.184539105417066,109.747173161203,200,"pelagic","subtropical",NA,"other","DD","Medium",0.5,52.78,NA,NA
